baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,compartment,gene,direction
21.109818641110238,4.837273902934152,0.7592662357138011,6.3709851372312585,1.878178449429863e-10,2.2489308753473183e-06,Macrophage,CST6,up
53.56637952169491,4.194090239070345,0.9443440653900289,4.441273464601188,8.942805962555087e-06,0.005571811433224166,Macrophage,FN1,up
15.881317198499028,3.1999584323985495,0.8171687490159701,3.9159089677033303,9.006422946805229e-05,0.02715097480880707,Macrophage,OLFML3,up
10.848469906460455,3.0805070405074195,0.6056243551871351,5.086497948972936,3.6473566295959426e-07,0.0006239064040397403,Macrophage,GAL3ST4,up
8.597686531931553,2.883847421503993,0.6232471447623475,4.627132985268055,3.707624595783362e-06,0.0029596731273273317,Macrophage,AC109826.1,up
96.12418141111729,2.828769409999065,0.5114249838055843,5.531152172015138,3.181341837822864e-08,9.523346791522744e-05,Macrophage,C3,up
32.42025144182013,2.8094174903998956,0.6501303987614893,4.321313840657027,1.5510287857840468e-05,0.008074790730860076,Macrophage,BHLHE41,up
10.003022658651194,2.536809292454304,0.5055793134160503,5.017628738236601,5.231314585300854e-07,0.0007534366465484575,Macrophage,FAM159A,up
26.987799929216408,2.3853862425610886,0.5119206260655325,4.659679882200582,3.1670152669026e-06,0.0027087029147065526,Macrophage,HAMP,up
18.978993265838177,1.881700540923727,0.5042447821372936,3.7317204016429177,0.00019017651632469016,0.042965539744751695,Macrophage,LINC01094,up
266.4071960923125,1.3998495470581507,0.35343388018362004,3.9607112547639316,7.47268492651772e-05,0.025565122660035192,Macrophage,FCGR1A,up
126.04363972174608,1.312834259500718,0.31524997146093986,4.164423087547784,3.121408252431991e-05,0.01450031269286915,Macrophage,CX3CR1,up
18.92867795435933,1.2613085457669966,0.32967830021296834,3.8258767560746514,0.00013030747395581746,0.0331979083648289,Macrophage,TRPM2,up
34.34237604013411,1.155510449041551,0.2992772230199665,3.8610036453207144,0.00011292221850801083,0.030730241918520945,Macrophage,GBGT1,up
42.0282817512715,1.1553849759901738,0.2959825767251724,3.903557394403587,9.478905865955332e-05,0.02715097480880707,Macrophage,TLR7,up
795.651633074491,1.0745478018385202,0.2204956166017454,4.8733295400576875,1.0973295223685447e-06,0.0013139423700840955,Macrophage,IER3,up
73.55890410772591,1.0538050038254545,0.22204857945890635,4.745830873556559,2.076521669797582e-06,0.002072022539513021,Macrophage,REEP4,up
