baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,compartment,gene
0.40142405345497006,-0.68282596270469,3.281300666914149,-0.20809612773060618,0.8351539106043444,,Mesenchyme,RP11-34P13.7
0.0500593944408508,-0.5049590350439578,4.506314465405185,-0.11205588045852329,0.9107790993242671,,Mesenchyme,RP11-34P13.8
0.0500593944408508,-0.5049590350439578,4.506314465405185,-0.11205588045852329,0.9107790993242671,,Mesenchyme,FO538757.3
55.503423730533065,-0.5776787679020234,0.4350144445727852,-1.3279530716947676,0.18419361046156923,0.5887298679117039,Mesenchyme,FO538757.2
44.60647799129169,-0.08055563080013804,0.5380131081813783,-0.14972800769192532,0.8809792103218576,0.9747538407984696,Mesenchyme,AP006222.2
1.5987368979133396,-0.03929690603604019,1.7331327166853507,-0.022673916231410293,0.9819103823175699,,Mesenchyme,RP4-669L17.10
0.16949475916122692,-1.095083297247307,4.4189617958113825,-0.24781461072718658,0.8042778497562446,,Mesenchyme,RP5-857K21.4
15.967547955929655,-1.8549244984519653,0.6591727421763768,-2.8140188144424783,0.004892636472785361,0.08046683693595183,Mesenchyme,RP11-206L10.9
0.1001187888817016,-0.9250875228779448,4.441235513660389,-0.20829508366141652,0.8349985701344936,,Mesenchyme,FAM87B
4.12688321310913,-0.012704111286133779,1.0689400305390564,-0.011884774564693976,0.9905175450961542,,Mesenchyme,LINC00115
6.219373853132594,-0.14187273638097095,0.999959096081559,-0.1418785397691902,0.887175945606151,0.9756482551855209,Mesenchyme,FAM41C
0.5963923661126799,1.6084876755355395,3.0101635800176343,0.5343522479021278,0.593097850198208,,Mesenchyme,RP11-54O7.1
2.1650606620806894,0.8437492501813664,1.574886960099778,0.535752261310177,0.592129779399055,,Mesenchyme,RP11-54O7.3
17.414985597456496,2.401387266651255,0.663098801804505,3.6214622317463228,0.0002929425769225585,0.011602869586748695,Mesenchyme,SAMD11
29.68401292355335,-0.6163565147086146,0.5412374453922149,-1.1387913381749921,0.25479019542213954,0.6731410125587047,Mesenchyme,NOC2L
1.776637517207411,-0.6793170221143108,2.005658085023149,-0.3387003134716604,0.7348355044913903,,Mesenchyme,KLHL17
0.24150482807494375,1.9240136329769792,4.389619839658136,0.438309854442161,0.6611616833441182,,Mesenchyme,PLEKHN1
0.49874323542620674,-1.1627996858473504,3.0889346715537997,-0.3764403619654531,0.7065895444048851,,Mesenchyme,PERM1
2.890998906045463,-1.4623335884605875,1.474993147762236,-0.9914172080589968,0.32148190102070096,,Mesenchyme,RP11-54O7.17
283.23675072054203,-0.8630958389163441,0.4166871024677705,-2.071328423185601,0.03832811482680306,0.2866161608839699,Mesenchyme,HES4
174.81540853761393,1.063708776796545,0.4505643756039395,2.360836396287972,0.018233772699974473,0.18311441914315132,Mesenchyme,ISG15
0.16949475916122692,-1.095083297247307,4.4189617958113825,-0.24781461072718658,0.8042778497562446,,Mesenchyme,RP11-54O7.11
14.32808377863397,1.515107435468545,0.7058261522972926,2.146573105200535,0.031827282958767356,0.260148932437471,Mesenchyme,AGRN
0.0,,,,,,Mesenchyme,RNF223
3.1587975602571636,1.4673364250041991,1.3125399077549207,1.1179366176484915,0.2635940644878473,,Mesenchyme,C1orf159
1.7890738432751256,-2.205669487863144,2.2487859637952603,-0.9808267764801641,0.3266781714281983,,Mesenchyme,RP11-465B22.8
0.0,,,,,,Mesenchyme,TTLL10-AS1
1.3368059378901036,-0.24777400980329106,1.947681721390371,-0.12721483550526685,0.8987703637464556,,Mesenchyme,TTLL10
1.0796059850605382,-1.131634362907538,2.20929154568922,-0.5122159477392598,0.60849988298295,,Mesenchyme,TNFRSF18
6.272338519577803,1.3660018849806768,0.9712202135168759,1.4064800814166138,0.15958161524677217,0.5610412388546572,Mesenchyme,TNFRSF4
133.04826792501964,0.17255829918443205,0.39618245116194445,0.43555260632656523,0.6631613631362079,0.9158471154497532,Mesenchyme,SDF4
6.656265291056152,1.2938808637910344,0.9227540704914319,1.4021946964719985,0.16085711494708954,0.5622333752933572,Mesenchyme,B3GALT6
1.877478510364954,4.3564613100392195,2.5520683594322278,1.7070315902542768,0.0878161809207098,,Mesenchyme,FAM132A
0.16949475916122692,-1.095083297247307,4.4189617958113825,-0.24781461072718658,0.8042778497562446,,Mesenchyme,RP5-902P8.12
49.97245789796575,0.17064695480603867,0.403092946972909,0.4233439361505561,0.6720443427508915,0.9174911664489744,Mesenchyme,UBE2J2
0.0,,,,,,Mesenchyme,RP5-902P8.10
0.35119915073784586,2.3316448542002832,3.958750026636115,0.5889851186642269,0.5558712563759913,,Mesenchyme,SCNN1D
10.402489946873386,-0.37452640068929416,0.7195411862174874,-0.5205072452601628,0.6027100793808899,0.8927537940534612,Mesenchyme,ACAP3
8.51390059389415,1.1570686835638502,0.8144810838713505,1.4206206951598306,0.1554270587735438,0.5540681494549748,Mesenchyme,PUSL1
38.15624748867218,0.29757431709200244,0.43855474113466714,0.6785340327688447,0.49743315304128377,0.8486817995514158,Mesenchyme,CPSF3L
10.306411157023852,0.20815960100869593,0.709627319036706,0.29333650977708303,0.7692649496238748,0.9467371415128815,Mesenchyme,CPTP
0.10969432266290215,1.184131160185835,4.483819695573104,0.2640898253234699,0.791710703881226,,Mesenchyme,TAS1R3
5.530773154911556,1.2770201195815014,0.9374733611198863,1.3621935006835817,0.1731368264033919,,Mesenchyme,DVL1
122.65688630031347,1.6700676746083136,0.5097749015287836,3.2760884649281152,0.001052555857888209,0.02906762513987011,Mesenchyme,MXRA8
140.81946901293088,0.21201811414612198,0.37000166416766983,0.5730193528265969,0.5666315905080351,0.8801431736980119,Mesenchyme,AURKAIP1
27.598919610761214,-0.3816443303142436,0.494785217262076,-0.7713333321195318,0.4405093801584462,0.8174565962597338,Mesenchyme,CCNL2
156.23883809237662,0.2990725249355866,0.3676670907847003,0.8134329463572211,0.4159698762618991,0.8030519691644625,Mesenchyme,MRPL20
0.6806131352790992,-0.5786416594616693,2.473914695407203,-0.23389717541025629,0.8150648060948082,,Mesenchyme,RP4-758J18.13
4.41417505606639,3.9075215232896974,1.533107727578808,2.5487586116735135,0.010810709951492645,,Mesenchyme,ANKRD65
0.3013052645732685,-0.05199300151233174,4.057604993153478,-0.012813716860083996,0.9897764129223484,,Mesenchyme,RP4-758J18.10
15.46538166540961,1.9481020922756092,0.7110870482942296,2.739611271149934,0.006151188924359688,0.09399548260649634,Mesenchyme,VWA1
1.7712590791066736,-0.5301370655685312,1.666842706278106,-0.3180486458450988,0.7504480371394995,,Mesenchyme,ATAD3C
4.955862277250177,-0.5501921428498112,1.0054984474907,-0.5471834831996595,0.58425268232252,,Mesenchyme,ATAD3B
6.837794420534851,0.12480481132621699,0.8499571417096872,0.1468365935194948,0.8832610002742337,0.9747538407984696,Mesenchyme,ATAD3A
0.24150482807494375,1.9240136329769792,4.389619839658136,0.438309854442161,0.6611616833441182,,Mesenchyme,TMEM240
123.11903327666562,-0.0021293001468762904,0.37821685441438796,-0.005629839395108904,0.9955080617955876,0.9985793579153656,Mesenchyme,SSU72
5.813463399110252,-1.270886207519129,0.944142887908803,-1.3460740146378,0.1782786479838424,,Mesenchyme,RP5-832C2.5
2.395733894217393,4.096564529405028,1.8918808554562987,2.1653395971476157,0.030361688078488075,,Mesenchyme,C1orf233
8.133542988843514,-1.2151992809331689,0.8229446388769173,-1.4766476668364548,0.13977010720413163,0.5323272065131592,Mesenchyme,RP11-345P4.9
20.181459163262698,-0.37306019931914075,0.560242954645542,-0.6658900325755472,0.5054813919412573,0.8517538345682414,Mesenchyme,MIB2
100.34617067006417,3.681451723164751,0.4519949751219635,8.144895243960114,3.796104094988258e-16,6.264837124762289e-13,Mesenchyme,MMP23B
29.822811269864342,-0.36758965314479025,0.47830826176939467,-0.7685203926542569,0.44217808008479154,0.8174565962597338,Mesenchyme,CDK11B
1.5854561639100275,-3.912531590688696,2.6806427607143464,-1.4595497945597464,0.14441384594795184,,Mesenchyme,RP11-345P4.10
18.868937873652225,0.10208184902676536,0.6214917570539173,0.16425294119855766,0.8695320259450567,0.9717768407219096,Mesenchyme,SLC35E2B
0.26961354804292853,-1.7096039187319871,4.327770114292096,-0.3950311300237886,0.692819913981637,,Mesenchyme,RP11-345P4.7
22.954165832909837,-0.555791383137413,0.5717851599802455,-0.9720283456755244,0.33103644711295366,0.7389366319460025,Mesenchyme,CDK11A
1.8242835887342626,-1.7519928994668066,1.7260719648842393,-1.015017296561158,0.31009758260286535,,Mesenchyme,SLC35E2
17.335295880475538,-0.27504247359212736,0.6473808594199002,-0.4248541945441285,0.6709429678397161,0.9172688598827352,Mesenchyme,NADK
