baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,compartment,gene,direction
47.389195740777865,9.167645490350434,2.688094037181262,3.410463087803147,0.0006485266194781627,0.021124047980502523,Mesenchyme,PENK,up
29.15073066221663,8.49579663935915,1.8060405115831188,4.704100813282421,2.5498723662014285e-06,0.00026860464010772917,Mesenchyme,LOX,up
17.783309815982516,7.75801365120283,1.7972270422190413,4.316657533498933,1.584096389264971e-05,0.0012065940343462878,Mesenchyme,SBSN,up
30.712589144665476,7.384193094884082,2.0425489431975663,3.615185388568602,0.00030013276518182826,0.011746698185100646,Mesenchyme,OSR1,up
39.36780193981205,7.280766850336506,1.9964001638344384,3.6469476321583296,0.0002653739816665347,0.010948888193591777,Mesenchyme,PDPN,up
12.433273748846316,7.220291131224263,1.8489597527431192,3.905055867501837,9.42036196210908e-05,0.004910823354217236,Mesenchyme,DLK1,up
32.542573368909224,6.478157547178796,1.9557923903173575,3.3122930528058836,0.0009253455917270395,0.02688876519694583,Mesenchyme,WT1,up
94.05962109349362,6.354389202039505,1.2462101080958201,5.098971000763959,3.41504860562425e-07,5.0471360138643766e-05,Mesenchyme,IGF1,up
11.777721872599471,6.199239930378851,1.5598781012305096,3.974182293788586,7.062146006344386e-05,0.003950811850554921,Mesenchyme,BDKRB1,up
22.95834146240756,6.124422880865491,1.0150561371704898,6.03358046574406,1.6036607917649168e-09,4.0716536307836423e-07,Mesenchyme,CPXM1,up
612.2107911280845,5.920215909812943,1.2564444375277024,4.711880392786898,2.454414294904209e-06,0.000261329143528403,Mesenchyme,C3,up
13.409748031059353,5.879365228336121,1.3324540885698053,4.412433628123547,1.022151344753104e-05,0.0008228733833939215,Mesenchyme,SOX18,up
14.212003126341282,5.824610425530318,1.4461095480015553,4.027779523051772,5.630610663014507e-05,0.0032990714074064877,Mesenchyme,CA12,up
49.49935868384878,5.764894125676292,0.8159329705984126,7.065401611909697,1.6015212571922348e-12,7.551554042246433e-10,Mesenchyme,COL8A1,up
7.416165861759185,5.731506661664718,1.5721372862405374,3.645678218961722,0.000266687514753977,0.010957426436074193,Mesenchyme,ROR2,up
6.84130078241017,5.578782603734102,1.5379983822714922,3.6273006968282484,0.0002863996893167013,0.011589401361654945,Mesenchyme,ACKR1,up
61.86755537538872,5.565506317514962,1.4366826641650619,3.873859173173357,0.00010712533132207206,0.005357348640157362,Mesenchyme,SFRP4,up
8.016680875703385,5.530574613170297,1.5280973881909807,3.619255327513909,0.00029545201353390775,0.011609388246082358,Mesenchyme,TWIST1,up
