baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,compartment,gene,direction
17.33640947950869,5.743202988307057,1.2426913331524345,4.621584487708476,3.8082018039196073e-06,0.0008316264125183032,Endothelial,LY6H,up
4.674000221550635,5.40839032340636,1.5842080620308916,3.413939401667367,0.0006403081572379344,0.043715019045603445,Endothelial,OR51E1,up
2.670456121270995,4.631273189504747,1.3714060743264662,3.377025431201541,0.0007327427504515626,0.047352832528678133,Endothelial,LINC01013,up
3.777793885356433,4.571588796053721,1.2442660489048238,3.67412483855646,0.0002386660300352206,0.022377326976102285,Endothelial,FGF13,up
6.187411159238094,4.496673012310598,1.150696073456167,3.9077851363519818,9.314608376673513e-05,0.011696486804422883,Endothelial,POU4F1,up
6.053803745005505,4.461789976407733,1.1552327901427413,3.8622431898391936,0.00011235064312706893,0.01274273745918627,Endothelial,LPL,up
1402.4491017832001,4.425272318316382,0.7788540592209204,5.681773454121732,1.333051634533093e-08,6.24934606269114e-06,Endothelial,FABP4,up
6.061180072690252,4.268010910184344,1.2268096099315287,3.4789513186341545,0.000503380021473186,0.037449278086326594,Endothelial,LEF1,up
6.426496718637829,4.266094488345501,1.105171242759806,3.8601207878810864,0.00011333099061344059,0.012751096415899428,Endothelial,ADAMTS18,up
457.00514526477684,4.254394628582737,0.6665770371575476,6.3824500266684066,1.742769087109885e-10,1.361683580061857e-07,Endothelial,ACKR1,up
18.57384524135315,4.25129832639246,0.6284588063544754,6.764641187945358,1.3363998113943013e-11,1.342509067674961e-08,Endothelial,C6orf141,up
96.25541465611855,4.1341151847299455,0.8510038683528549,4.857927605818827,1.1862076168337717e-06,0.00032711419457157184,Endothelial,APOD,up
2.4900602438297788,3.9512669616645737,1.1691553385826916,3.379591087061619,0.0007259374786458593,0.0472665958318304,Endothelial,JPH1,up
3.4430566848827433,3.9073699667869537,1.1062471656077328,3.5320948954842146,0.00041228137793410693,0.03221291832925156,Endothelial,MEOX1,up
42.0500099125192,3.8415311750368035,0.7931255379611722,4.8435348392789574,1.27549343962338e-06,0.00034098908775073505,Endothelial,ZNF385D,up
5.980251706433225,3.838507563870325,1.0787264289059497,3.5583698155642303,0.000373163667436647,0.030336264848722566,Endothelial,APLN,up
3.2157124478070536,3.7946666469204198,0.9961674671681605,3.8092657830993506,0.00013938006845609188,0.014850312748230881,Endothelial,CTD-3179P9.1,up
12.34433998678847,3.745039306812334,0.9398313871878182,3.984799143619063,6.753722781518286e-05,0.009074205784488008,Endothelial,RP11-536O18.1,up
